Produto;Quantidade;Unitario;Total;Venda Ano;Loja;Cidade
 Kit Aneethun Age Shampoo/máscara/finalizador/fluid Defense ;15;189.0;2835.0;405.0;https://perfil.mercadolivre.com.br/TBARROSF;São Paulo, São Paulo.
 Aneethun Linha A Hidratação Kit Sh+másc+spray+leave - In ;105;215.98;22677.9;4535.58;https://perfil.mercadolivre.com.br/PURAMANIACOSMETICOS;Presidente Prudente, São Paulo.
 Aneethun 2 Linha A Creme De Silicone Hidratação ;22;83.99;1847.78;1847.78;https://perfil.mercadolivre.com.br/CENTRALVENDASUM;Santa Rita do Passa Quatro, São Paulo.
 Kit Aneethun Age System 1l - Sh + Elixir + Masc +fin + Fluid ;4;396.99;1587.96;198.5;https://perfil.mercadolivre.com.br/F.W+COSM%C3%89TICOS;Bauru, São Paulo.
 Kit Aneethun Blond Shampoo 300ml E Masc. 250gr Desamarelador ;119;119.9;14268.1;3567.03;https://perfil.mercadolivre.com.br/BELEZACOSM%C3%89TICOS;São Paulo, São Paulo.
 Aneethun Linha A Máscara 1 Kilo ;50;119.8;5990.0;5990.0;https://perfil.mercadolivre.com.br/THEBESTHAIRPROFESSIONAL;Atibaia, São Paulo.
 Aneethun Linha A Máscara Capilar Hidratação Intensivo 50 ;30;74.18;2225.4;2225.4;https://perfil.mercadolivre.com.br/CENTRALVENDASUM;Santa Rita do Passa Quatro, São Paulo.
 Aneethun Kera System Kit Cauterização Capilar - 4 Produto ;10;230.0;2300.0;2300.0;https://perfil.mercadolivre.com.br/CENTRALVENDASUM;Santa Rita do Passa Quatro, São Paulo.
 Máscara Capilar Aneethun Hidratação Intensiva 1 Kg ;14;119.0;1666.0;166.6;https://perfil.mercadolivre.com.br/SANREMOMAGAZINE;Catanduva, São Paulo.
 Cronogra + Spray, Máscara E Shampoo Anti Quebra Aneethun Kit ;8;342.63;2741.04;2741.04;https://perfil.mercadolivre.com.br/CENTRALVENDASUM;Santa Rita do Passa Quatro, São Paulo.
 Aneethun Linha A Shampoo 1 Litro ;39;118.9;4637.1;4637.1;https://perfil.mercadolivre.com.br/THEBESTHAIRPROFESSIONAL;Atibaia, São Paulo.
 Kit Kera System Aneethun Cliente ;13;139.99;1819.87;606.62;https://perfil.mercadolivre.com.br/CIABELEZA+DISBEL;Presidente Prudente, São Paulo.
 Kit Antiqueda Aneethun Shampoo & Bálsamo ;24;125.0;3000.0;428.57;https://perfil.mercadolivre.com.br/TBARROSF;São Paulo, São Paulo.
 Kit Shampoo + Máscara Age System 1l Aneethun (profissional) ;118;246.89;29133.02;5826.6;https://perfil.mercadolivre.com.br/PURAMANIACOSMETICOS;Presidente Prudente, São Paulo.
 Kit Aneethun Kinoa Sh300ml Másc 250gr Bál. 250gr E Finaliza ;49;189.0;9261.0;2315.25;https://perfil.mercadolivre.com.br/BELEZACOSM%C3%89TICOS;São Paulo, São Paulo.
 Aneethun Linha A Hidratação Imediata Kit Profissional Litro ;9;346.0;3114.0;1557.0;https://perfil.mercadolivre.com.br/ELISANGELAAPARECIDALOPESZIME;Assis, São Paulo.
 Aneethun Blond System Mascara Matizadora 250ml ;26;46.99;1221.74;1221.74;https://perfil.mercadolivre.com.br/THEBESTHAIRPROFESSIONAL;Atibaia, São Paulo.
 Aneethun Kera System Kit Shampoo Recondic Finaliz Queratina ;9;237.83;2140.47;2140.47;https://perfil.mercadolivre.com.br/CENTRALVENDASUM;Santa Rita do Passa Quatro, São Paulo.
 Aneethun Kit Cachos Therapy - 5 Produtos ;6;292.95;1757.7;878.85;https://perfil.mercadolivre.com.br/BB+COSMETICOS;São Paulo, São Paulo.
 Kit Completo Age - Vitalidade - Aneethun ;8;261.1;2088.8;298.4;https://perfil.mercadolivre.com.br/TBARROSF;São Paulo, São Paulo.
 Aneethun Linha A - Creme Silicone Com Tutano E Queratina 1l ;18;114.99;2069.82;2069.82;https://perfil.mercadolivre.com.br/CENTRALVENDASUM;Santa Rita do Passa Quatro, São Paulo.
 Kit Aneethun Linha A - Shampoo/creme De Silicone/máscara ;16;155.9;2494.4;226.76;https://perfil.mercadolivre.com.br/MAGAZINELZSP;Assis, São Paulo.
 Aneethun Linha A Kit Shampoo 1l, Creme 1l E Máscara 1kg ;8;329.99;2639.92;2639.92;https://perfil.mercadolivre.com.br/CENTRALVENDASUM;Santa Rita do Passa Quatro, São Paulo.
 Kit Aneethun Blond System - Shampoo + Máscara - Black Friday ;25;119.95;2998.75;428.39;https://perfil.mercadolivre.com.br/TBARROSF;São Paulo, São Paulo.
 Kit Tratamento Completo Aneethun Force System Home Care ;7;188.9;1322.3;120.21;https://perfil.mercadolivre.com.br/MAGAZINELZSP;Assis, São Paulo.
 Aneethun Creme De Silicone Linha A 1 Litro Cab.secos ;231;135.0;31185.0;7796.25;https://perfil.mercadolivre.com.br/BELEZACOSM%C3%89TICOS;São Paulo, São Paulo.
 Aneethun Style Pomada Sculp Fixação Ultra Forte 65g ;10;61.91;619.1;309.55;https://perfil.mercadolivre.com.br/BB+COSMETICOS;São Paulo, São Paulo.
 Aneethun Kinoa Force Lizz Shampoo 300ml + Mascara 250ml ;20;105.99;2119.8;423.96;https://perfil.mercadolivre.com.br/PURAMANIACOSMETICOS;Presidente Prudente, São Paulo.
 Aneethun Mascara Matizante Blond System 1 Litro N2 Antiamar ;78;139.9;10912.2;2728.05;https://perfil.mercadolivre.com.br/BELEZACOSM%C3%89TICOS;São Paulo, São Paulo.
 Aneethun Blond System Mascara Matizadora 250 G ;33;65.22;2152.26;538.07;https://perfil.mercadolivre.com.br/DOCE+BELEZA+OFICIAL?brandId=137;São Paulo, São Paulo.
 Pomada Aneethum Pasta Sculp (combo Com 2) ;71;140.0;9940.0;994.0;https://perfil.mercadolivre.com.br/SANREMOMAGAZINE;Catanduva, São Paulo.
 Aneethun Linha A Hidratação Imediata Kit Profissional Litro ;9;357.9;3221.1;292.83;https://perfil.mercadolivre.com.br/MAGAZINELZSP;Assis, São Paulo.
 Kit Antiqueda Aneethun Shampoo & Bálsamo ;24;125.0;3000.0;428.57;https://perfil.mercadolivre.com.br/TBARROSF;São Paulo, São Paulo.
 Aneethun Kit Kera System - Cauterização De Auto Impacto ;3;369.9;1109.7;1109.7;https://perfil.mercadolivre.com.br/THEBESTHAIRPROFESSIONAL;Atibaia, São Paulo.
 Kit Blond System Matizador Profissional ;7;257.25;1800.75;600.25;https://perfil.mercadolivre.com.br/CIABELEZA+DISBEL;Presidente Prudente, São Paulo.
 Pomada Modeladora Aneethum Style Combo Com 2 (frete Grátis) ;45;145.0;6525.0;652.5;https://perfil.mercadolivre.com.br/SANREMOMAGAZINE;Catanduva, São Paulo.
 Kit Completo Tratamento Cauterização Aneethun Kera System ;257;368.0;94576.0;15762.67;https://perfil.mercadolivre.com.br/WEB+COSMETICO;Bauru, São Paulo.
 Aneethun Kit Age System Shampoo 300ml E Máscara 250g ;37;105.0;3885.0;388.5;https://perfil.mercadolivre.com.br/SANDRASFORWORLD;Campinas, São Paulo.
 Mascara Aneethun E Creme De Silicone ;26;110.0;2860.0;2860.0;https://perfil.mercadolivre.com.br/CENTRALVENDASUM;Santa Rita do Passa Quatro, São Paulo.
 Aneethun Linha A Creme De Silicone 250 Ml ;92;61.98;5702.16;1425.54;https://perfil.mercadolivre.com.br/DOCE+BELEZA+OFICIAL?brandId=137;São Paulo, São Paulo.
 Kit Aneethun Linha A - Shampoo 300ml + Máscara 500g ;6;124.99;749.94;93.74;https://perfil.mercadolivre.com.br/F.W+COSM%C3%89TICOS;Bauru, São Paulo.
 Nourkrin Woman 180 Caps + Shampoo + Condicionador ;12;719.0;8628.0;4314.0;https://perfil.mercadolivre.com.br/BEAUTYSAVE;Apucarana, Paraná.
